Key,English(en),Russian(ru),Belarusian(be),Ukrainian(uk)
Intro_01,GameDev Experience Stables,GameDev Experience Stables,GameDev Experience Stables,GameDev Experience Stables
Intro_02,Presents,Представляет,Прадстаўляе,Presents
Intro_03,Snoody: one of the ayrie,Снуди: один из айри,Snoody: one of the ayrie,Snoody: one of the ayrie
Cutscene_start_01,"Far, far, in the darkness of immense cosmic space, the planet Iris shimmers with all the colors of the rainbow.","Далеко-далеко, во тьме необъятного космического пространства, всеми цветами радуги переливается планета Айрис.","Далёка-далёка, у цемры бязмежнай касмiчнай прасторы, усiмi колерамi вясёлкi пералiваецца планета Айрыс.","Далеко, далеко, у темряві величезного космічного простору, планета Ірис мерехтає з усіма кольорами веселки."
Cutscene_start_02,"The wonderful and curious people of Airi lives on this planet.
Nature endowed them with an outstanding mind, allowing them equally to master both science and magic.","Обитает на этой планете чудесный и любознательный народ айри.
Природа наделила их незаурядным умом, позволив в равной степени овладеть как наукой, так и магией.","Цудоўны i дапытны народ айры жыве на гэтай планеце.
Прырода надзялiла iх выдатным розумам, якi дазваляе iм аднолькава авалодаць як навукай, так i магiяй.","Чудові та цікаві люди Ейрі живуть на цій планеті.
Природа наділа їх видатним розумом, дозволяючи їм однаково освоїти науку, і магію."
Cutscene_start_03,"All that Iri is doing is filled with kindness, fun and ... color.
It is the color that is of particular importance for each of them.","Все, чем занимаются айри, наполнено добротой, весельем и... цветом. 
Именно цвет имеет особое значение для каждого из них.","Усё, чым займаюцца айры, напоўнена дабрынёй, весялосцью, гармонiяй i ... колерам. Менавiта колер мае вельмi вялiкае значэнне для кожнага з iх.","Все, що робить Ірі, наповнене добротою, веселощами та ... кольором.
Це колір, який має особливе значення для кожного з них."
Cutscene_start_04,"Not far from the oldest temple of the planet, on a small farm, the snood and his faithful friend Pike live.
In the morning they work in the garden, and after lunch they walk in the forest or have fun in the city.","Недалеко от старейшего Храма планеты, на небольшой ферме, живут Снуди и его верный друг Пайк.
По утрам они трудятся в огороде, а после обеда гуляют в лесу или веселятся в городе. ","На ўскраiне горада, зусiм недалёка ад старэйшага Храма планеты, жывуць i працуюць на невялiкай ферме Снудзi i яго верны гадаванец Пайк.","Недалеко від найстарішого храму планети, на невеликій фермі, сну та його вірному друзі щука в прямому ефірі.
Вранці вони працюють у саду, а після обіду ходять по лісі або розважаються в місті."
Cutscene_start_05,Life calmly walked its turn and peace and harmony reigned on Iris.,Жизнь спокойно шла своим чередом и на Айрис царил мир и гармония.,"Штодзень свiтаннi змянялi захады, i жыццё шло сваiм парадкам.
Ранiцай Снудзi працаваў на ферме, а пасля абеду гуляў з Пайкам, наведваў сваiх сяброў альбо выдумляў для iх чарговы розыгрыш.","Життя спокійно пройшло свою чергу, і мир і гармонія панували на Айріс."
Cutscene_start_06,"One morning, the snood went outside and with horror discovered everywhere slowly spreading colorless blots.
Vegetables, trees, paths, even the house itself gradually lost color.","Однажды утром Снуди вышел на улицу и с ужасом обнаружил повсюду медленно растекающиеся бесцветные кляксы. 
Овощи, деревья, дорожки, даже сам дом постепенно теряли цвет.","Аднойчы ранiцай Снудзi выйшаў з дому i з жахам заўважыў бяскаляровыя кляксы, якiя павольна расцякалiся па градках.
Усё вакол — гароднiна, дрэвы, сцежкi, нават сам дом паступова губляла колер.","Одного ранку снуд вийшов на вулицю і з жаху, виявленим скрізь, повільно розповсюджуючи безбарвні плями.
Овочі, дерева, стежки, навіть сам будинок поступово втрачали колір."
Cutscene_start_07,"Without thinking twice, the snood grabbed his cloak and ran to the temple to the elders.
He understood that only they could understand what happened.","Недолго думая, Снуди схватил свой плащ и побежал в Храм к Старейшинам. 
Он понимал, что разобраться в случившемся смогут только они.","Не доўга думаючы, Снудзi схапiў плашч i пабег да Храма, да Старэйшын. Ён разумеў, што толькi яны маглi разабрацца, што адбылося.","Не думаючи двічі, снайод схопив його плащ і побіг до храму до старших.
Він розумів, що тільки вони могли зрозуміти, що сталося."
Cutscene_start_08_01,"In the temple, the snood saw friends and acquaintances busy reading old scrolls.
Two elders stood in the center of the hall and studied a large book on the pedestal.","В Храме Снуди увидел друзей и знакомых, занятыx чтением старых свитков. 
Двое Старейшин стояли в центре зала и изучали большую книгу на постаменте.","Адчынiўшы дзверы храма, Снудзi убачыў шмат сяброў i знаёмых, занятых чытаннем старых скруткаў. Два Старэйшыны, якiя стаялi ў цэнтры залы, нахiлiлiся да вялiкай кнiгi на пастаменце.","У храмі Snood побачили друзів та знайомих, зайняті читанням старих сувоїв.
Двоє старших стояли в центрі залу і вивчали велику книгу на п’єдесталі."
Cutscene_start_08_02,"But the worst was that everything around, including Iri themselves, became completely colorless.","Но самое ужасное было то, что всё вокруг, включая самих айри, стало совершенно бесцветным.","Але самае жахлiвае было тое, што ўсё вакол, у тым лiку i самi айры, было поўнасцю бяскаляровым.","Але найгірше було те, що все навколо, включаючи самі Ірі, стало абсолютно безбарвним."
Cutscene_start_09_01,"Suddenly everyone was quiet in the hall. The surprised Iri surrounded the one who entered.
The elders turned around and, examining the snoods, began to whisper about something.","Внезапно в зале все притихли. Удивленные айри окружили вошедшего.
Старейшины обернулись и, рассматривая Снуди, начали о чем-то шептаться.","Раптам ў залi сцiхлi ўсе гукi. Здзiўленыя айры разгублена паглядзелi на ​​Снудзi, якi толькi што ўвайшоў, i сталi вакол яго.
Вярхоўныя Старэйшыны азiрнулiся i, агледзеўшы Снудзi, пачалi аб чымсьцi шаптацца.","Раптом усі були тихими в залі. Здивований Ірі оточив того, хто увійшов.
Старійшини обернулися і, оглядаючи Снуди, почали щось прошепотіти."
Cutscene_start_09_02,And only at this very moment the snood noticed that he was the only one retained his color!,"И только в это самое мгновение Снуди заметил, что он единственный сохранил свой цвет!","i толькi ў гэты самы момант Снудзi звярнуў увагу на тое, што ён захаваў свой чароўны колер!","І лише в цю мить сноуд помітив, що він єдиний, хто зберіг його колір!"
