Key,English(en),Russian(ru),Belarusian(be),Ukrainian(uk)
Menu_NewGame_Button,New Game,Новая игра,Новая гульня,
Menu_Continue_Button,Continue,Продолжить,Працягнуць,
Menu_Settings_Button,Settings,Настройки,Налады,
Menu_About_Button,About,О нас,Пра нас,
Menu_Artbook_Button,Artbook,Артбук,Артбук,
Menu_Quit_Button,Quit,Выйти,Выйсці,
Menu_NewGame_Caption,New Game New Game New Game New Game,Новая игра123,Новая гульня,
Menu_Continue_Caption,Continue Continue Continue Continue Continue,Продолжить123,Працягнуць,
Menu_Settings_Caption,Settings Settings Settings Settings Settings,Настройки123,Налады,
Menu_About_Caption,About About About About About,О нас123,,
Menu_Artbook_Caption,Artbook Artbook Artbook Artbook,Артбук123,,
Menu_Quit_Caption,Quit Quit Quit Quit Quit,Выйти123,Выйсці,
