Key,English(en),Russian(ru),Belarusian(be),Ukrainian(uk)
Rune_Level_1,First level rune ,Руна первого уровня,Руна першага ўзроўню,Руна першого рівня
Rune_Level_2,Second level rune ,Руна второго уровня,Руна другога ўзроўню,Руна другого рівня
Rune_Level_3,Third level rune ,Руна третьего уровня,Руна трэццяга ўзроўню,Руна третього рівня
Rune_Level_Passive,Passive rune,Пассивная руна,Пасіўная руна,Пасивна руна
Rune_Fire_Name,Fire,Огонь,Агонь,Вогонь
Rune_Water_Name,Water,Вода,Вада,Вода
Rune_Earth_Name,Earth,Земля,Зямля,Земля
Rune_Air_Name,Air,Воздух,Паветра,Повітря
Rune_Lava_Name,Lava,Лава,Лава,Лава
Rune_Wave_Name,Wave,Волна,Хваля,Махати
Rune_Life_Name,Life,Жизнь,Жыццё,Життя
Rune_Lightning_Name,Lightning,Молния,Маланка,Блискавка
Rune_Dash_Name,Dash,Рывок,Рывок,Ривок
Rune_Might_Name,Might,Мощь,Моц,Влада
Rune_Resurrection_Name,Soul,Душа,Душа,Душа
Rune_Fire_Desc,"Allows you to create a fiery shell, which inflicts <b> average </b> damage <b> one </b> target and spends <b> insignificant </b> number of mana points. <br> <b> sets on the enemy for a short time.","Позволяет создать огненный снаряд, который наносит <b>средний</b> урон <b>одной</b> цели и тратит <b>незначительное</b> количество очков маны. <br><b>Поджигает</b> врага на непродолжительное время.","Дазваляе стварыць снарад з агню, які наносіць <b>сярэдні</b> ўрон <b>аднаму</b> ворагу і спажывае <b>нязначную</b> колькасць ачкоў маны. <br><b>Падпальвае</b> ворага на непрацяглы час.","Дозволяє створити вогненну оболонку, яка завдає <b> середній </b> пошкодження <b> одна </b> ціль і витрачає <b> незначну </b> кількість точок мана. <br> <b> на короткий час встановлює ворога."
Rune_Water_Desc,Allows you to create a water shell that causes <b> small </b> damage <b> the group </b> enemies and spends <b> insignificant </b> number of mana points. <br> <b> slows down </b> All enemies for a short time in the field of action.,"Позволяет создать водяной снаряд, который наносит <b>малый</b> урон <b>группе</b> врагов и тратит <b>незначительное</b> количество очков маны.<br><b>Замедляет</b> всех врагов на непродолжительное время в области действия.","Дазваляе стварыць снарад з вады, які наносіць <b>невялікі</b> ўрон <b>групе</b> ворагаў і спажывае <b>нязначную колькасць</b> маны.","Дозволяє створити водяну оболонку, яка спричиняє <b> малі </b> пошкодження <b> Група </b> ворогів і витрачає <b> незначні </b> кількість точок мана. <br> <b> уповільнює вниз </b> всі вороги на короткий час у галузі дії."
Rune_Earth_Desc,"Allows you to create an earthen shell that causes <b> the average </b> damage <b> one </b> target and spends <b> insignificant </b> number of mana points. <br>
<b> stops </b> the enemy for a short time.","Позволяет создать земляной снаряд, который наносит <b>средний</b> урон <b>одной</b> цели и тратит <b>незначительное</b> количество очков маны.<br>
<b>Останавливает</b> врага на непродолжительное время.","Дазваляе стварыць земляны снарад, які наносіць <b>сярэдні</b> ўрон <b>аднаму</b> ворагу і спажывае <b>нязначную</b> колькасць ачкоў маны. <br><b>Спыняе</b> ворага на непрацяглы час.","Дозволяє створити земляну оболонку, яка спричиняє <b> середню </b> пошкодження <b> однієї цілі </b> і витрачає <b> незначні </b> кількість точок ман. <br>
<b> зупиняє </b> противник на короткий час."
Rune_Air_Desc,"Allows you to create an air projectile that causes <b> the average </b> damage <b> one </b> target and spends <b> insignificant </b> number of mana points. <br>
<b> repels </b> of all enemies in the field of exposure.","Позволяет создать воздушный снаряд, который наносит <b>средний</b> урон <b>одной</b> цели и тратит <b>незначительное</b> количество очков маны.<br>
<b>Отталкивает</b> всех врагов в области воздействия.","Дазваляе стварыць паветраны снарад, які наносіць <b>сярэдні</b> ўрон <b>аднаму</b> ворагу і спажывае <b>нязначную</b> колькасць ачкоў маны. <br> <b>Зніжае дакладнасць</b> атакі ўсіх ворагаў у вобласці ўздзеяння.","Дозволяє створити повітряний снаряд, який спричиняє <b> середнє </b> пошкодження <b> однієї цілі </b> і витрачає <b> незначні </b> кількість точок мана. <br>
<b> відштовхує </b> всіх ворогів у галузі впливу."
Rune_Lava_Desc,"Allows you to create a lava trap. <b> All </b> Entering it receive <b> strong </b> damage and <b> settled </b>. <br>
Significant </b> the number of mana points is spent on the creation.","Позволяет создать лавовую ловушку. <b>Все</b> наступившие в нее получают <b>сильный</b> урон и <b>поджигаются</b>.<br>
На создание тратится <b>значительное</b> количество очков маны.","Дазваляе стварыць пастку з лавы. <b>Усе</b> ворагі, якія наступілі ў яе, атрымліваюць <b>моцны</b> ўрон і <b>падпальваюцца</b>.<br>
На стварэнне патрэбна <b>значная</b> колькасць маны.","Дозволяє створити пастку лави. <b> всі </b> введення його отримують <b> сильні </b> пошкодження та <b> врегульовані </b> <br>
Значна </b> Кількість манових балів витрачається на створення."
Rune_Wave_Desc,Allows you to create a water wall <b> not missing </b> enemies. Speaks <b> significant </b> the number of mana points.,Позволяет создать водяную стену <b>не пропускающую</b> врагов. Тратит <b>значительное</b> количество очков маны.,"Дазваляе стварыць вадзяную сцяну, якая <b>не прапускае</b> ворагаў. Патрабуе <b>значную</b> колькасць маны.",Дозволяє створити водяну стінку <b> не відсутні </b> ворогів. Говорить <b> Значні </b> Кількість балів мана.
Rune_Life_Desc,Allows you to create a magical totem that accelerates <b> restoration </b> of life in the field <b> around </b> self. Speaks <b> significant </b> the number of mana points.,"Позволяет создать волшебный тотем, который ускоряет <b>восстановление</b> очков жизни в области <b>вокруг</b> себя. Тратит <b>значительное</b> количество очков маны. ","Дазваляе стварыць магічны татэм, які <b>паскарае аднаўленне</b> ачкоў жыцця <b>вакол</b> сябе. Патрабуе <b>значную</b> колькасць маны.","Дозволяє створити магічний тотем, який прискорює <b> відновлення </b> життя в полі <b> навколо </b>. Говорить <b> Значні </b> Кількість балів мана."
Rune_Lightning_Desc,Allows you to create an electric shell of <b> strong </b> damage and <b> stops </b> for the time of all in the field of action. Speaks <b> significant </b> the number of mana points.,Позволяет создать электрический снаряд наносящий <b>сильный</b> урон и <b>останавливает</b> на время всех в области действия. Тратит <b>значительное</b> количество очков маны.,"Дазваляе стварыць электрычны снарад, які наносіць <b>моцны</b> урон першаму ворагу і <b>паслядоўны</b> урон усім ворагам у зоне дзеяння. Патрабуе <b>значную</b> колькасць маны.",Дозволяє створити електричну оболонку <b> сильних </b> пошкодження та <b> зупинки </b> на час усіх у галузі дії. Говорить <b> Значні </b> Кількість балів мана.
Rune_Dash_Desc,Allows you to make a jerk at a greater distance.,Позволяет совершать рывок на большее расстояние.,Дазваляе рабіць рывок на большую адлегласць.,Дозволяє зробити ривок на більшій відстані.
