Key,English(en),Russian(ru),Belarusian(be),Ukrainian(uk)
Default_Narrator,Picke,Пайк,Пайк,Пайк
Rocket_Book,Why is snow pouring on the book ... Or is it light?,Почему на книгу сыпется снег... или это свет?,Чаму снег наліваецца на кнігу ... ці гэта лёгка?,Чому сніг наливається на книгу ... чи це світло?
Rocket_Carrot,I remember how we raised this carrot.,"Я помню, как мы растили эту морковку.","Я памятаю, як мы паднялі гэтую моркву.","Я пам’ятаю, як ми підняли цю моркву."
Rocket_Flower,Did you water them today?,Ты их сегодня поливал?,Вы сёння іх палівалі?,Ви їх полили сьогодні?
Rocket_Table,"At least you sometimes read these books, or are they here for decoration?","Ты хоть иногда читаешь эти книги, или они тут для украшения?","Прынамсі, вы часам чытаеце гэтыя кнігі, альбо яны тут для ўпрыгожвання?","Принаймні, ви іноді читаєте ці книги, чи вони тут для прикраси?"
Rocket_Boxes,Someday you have to make out these boxes.,Когда-нибудь тебе придется разобрать эти коробки.,Калі -небудзь вы павінны разабрацца з гэтымі скрынкамі.,Колись вам доведеться розібратися з цими скриньками.
L1_01,"Still, we have a very beautiful ship!",Всё-таки у нас очень красивый корабль!,"Тым не менш, у нас вельмі прыгожы карабель!",Все -таки у нас дуже гарний корабель!
L1_02,It seems to be a dead end.,"Кажется, это тупик.","Здаецца, гэта тупік.","Здається, це тупик."
L1_03,"Either we arrange a picnic, or we go back.","Или устраиваем пикник, или идем обратно.","Альбо мы арганізуем пікнік, альбо вяртаемся назад.","Або ми влаштовуємо пікнік, або повертаємось назад."
L1_04,Perhaps he was someone's pet.,"Возможно, он был чьим-то домашним питомцем.","Магчыма, ён быў чыім -небудзь гадаванцам.","Можливо, він був чиїмсь домашнім улюбленцем."
L1_05,I wonder how they built such tall columns?!,"Интересно, как они строили такие высокие колонны?!","Цікава, як яны пабудавалі такія высокія калоны?!","Цікаво, як вони побудували такі високі колони?!"
L1_06,Someone clearly lived here very important.,Здесь явно жил кто-то очень важный.,Хтосьці відавочна жыў тут вельмі важны.,Хтось явно жив тут дуже важливо.
L1_07,"Great place for fishing! You took the fishing rods, as I asked?","Отличное место для рыбалки! Ты же взял удочки, как я просил?","Выдатнае месца для рыбалкі! Як я спытаў, вы ўзялі рыбалоўныя стрыжні?","Чудове місце для риболовлі! Ви взяли вудки, як я запитав?"
L1_08,"Interestingly, if you turn to the local gods, will they hear?","Интересно, если обратиться к местным богам, они услышат?","Цікава, што калі вы звернемся да мясцовых багоў, ці будуць яны пачуць?","Цікаво, що якщо ви звернетесь до місцевих богів, чи почують вони?"
L1_09,"Judging by the size of the head, he ate everyone.","Судя по размеру головы, он-то всех и съел.","Мяркуючы па памеры галавы, ён еў усіх.","Судячи за розміром голови, він їв усіх."
L1_10,Someone really lived here. This is a real house!,Здесь действительно кто-то жил. Это же настоящий дом!,Хтосьці сапраўды жыў тут. Гэта сапраўдны дом!,Хтось справді жив тут. Це справжній будинок!
L1_11,It seems to me that he should not bother.,"Мне кажется, его не стоит беспокоить.","Мне здаецца, што ён не павінен турбавацца.","Мені здається, він не повинен турбуватися."
L1_12,"A cozy place, is it time for us to eat?","Уютное место, не пора ли нам подкрепиться?","Утульнае месца, настаў час, каб мы паесці?","Затишне місце, чи пора нам їсти?"
L1_13,What is this in a row?,Это какой по счету?,Што гэта за шэраг?,Що це підряд?
L1_14,It seems to me or is there an island? You can clearly get there somehow.,Мне кажется или там остров? Туда явно можно как-то попасть.,"Мне здаецца, ці ёсць востраў? Вы можаце відавочна неяк дабрацца.","Мені здається, чи є острів? Ви можете якось туди потрапити."
L1_15,"As you want, and I bathe!","Ты как хочешь, а я искупаюсь!","Як вы хочаце, і я купаю!","Як хочете, і я купаю!"
L1_16,It seems to me that here you can go to the other side,"Мне кажется, здесь можно перейти на другую сторону","Мне здаецца, што тут вы можаце пайсці на другі бок","Мені здається, що тут ви можете піти на інший бік"
L1D1_01,It is strange that there is nothing here.,"Странно, что здесь ничего нет.","Дзіўна, што тут нічога няма.","Дивно, що тут нічого немає."
L1D1_02,Fascinating spectacle! Let's take one with us?,Завораживающее зрелище! А давай возьмем один с собой?,Займальнае відовішча! Давайце возьмем адзін з намі?,Захоплююче видовище! Давайте візьмемо його з собою?
L1D1_03,"Look, Iri were probably here! I saw the same carpet at Normus!","Смотри, здесь наверняка были айри! Я видел такой же ковер у Нормуса!","Паглядзіце, Іры, напэўна, былі тут! Я бачыў той самы дыван у Нормусе!","Подивіться, Ірі, напевно, були тут! Я побачив той самий килим у Нормуса!"
L1D1_04,,,,
L1D1_05,,,,
L1D1_06,,,,
L1D2_01,Wow! Look how many notes! Do you think the elders can read it?,"Ого! Смотри, сколько записок! Как думаешь, старейшины смогут это прочитать?","Ого! Паглядзіце, колькі нататак! Як вы лічыце, старэйшыны могуць прачытаць яго?","Ого! Подивіться, скільки нот! Як ви думаєте, старші можуть це прочитати?"
L1D2_02,ABOUT! Wells. Are you throwing a coin to return?,"О! Колодцы. Кинешь монетку, чтобы вернуться?","Пра! Свідравіны. Вы кідаеце манету, каб вярнуцца?","Про! Колодязя. Ви кидаєте монету, щоб повернутися?"
L1D2_03,There are suspiciously many mushrooms. You don't want to sleep?,Подозрительно много грибов. Ты спать не хочешь?,Ёсць падазрона шмат грыбоў. Вы не хочаце спаць?,Існує підозріло багато грибів. Ти спати не хочеш?
